meter model;diameter;correct name
 ВК-Х/40;40;Meter (Russian/Chineese) VK-H (MJ B)
 ВСКМ 90-40 X;40;Decast (Russian/Chineese) VSKM90 (MJ B)
 МК-V-15;15;Mincor (Russian) MK-U (SJ B)
 СВКМ-25Г;25;Norma (Russian) (SJ B)
15 У-110;15;Pulsar (Russian) Puls (SJ B)
15у-110;15;Pulsar (Russian) Puls (SJ B)
50 ХД;50;Spectechpribor (Russian) VDT (Woltmann B)
ARZ-15;15;Arzamas (Russian) (SJ B)
ARZAMAS 15;15;Arzamas (Russian) (SJ B)
ARZAMAS 15-3-2;15;Arzamas (Russian) (SJ B)
ARZAMAS15-3-2;15;Arzamas (Russian) (SJ B)
ARZAMAS-15-3-2;15;Arzamas (Russian) (SJ B)
CB-15;15;Meter (Russian/Chineese) SVU (SJ B)
CDE-15;15;Meter (Russian/Chineese) SVU (SJ B)
CDВКМ-15У;15;Norma (Russian) (SJ B)
CВ-15;15;Norma (Russian) (SJ B)
CВК-15-3;15;Norma (Russian) (SJ B)
CВК-25;25;Norma (Russian) (SJ B)
CВКМ-15;15;Norma (Russian) (SJ B)
CВКМ-159;15;Norma (Russian) (SJ B)
CВКМ-25Х;25;Norma (Russian) (SJ B)
CВКМ-40Г;40;Norma (Russian) (SJ B)
CВУ-15;15;Meter (Russian/Chineese) SVU (SJ B)
CКУ-15;15;Meter (Russian/Chineese) SVU (SJ B)
CХВ-15;15;Betar (Russian) SHV (SJ B)
DN 15;15;Betar (Russian) SHV (SJ B)
ETK-N-20;20;Zenner ETK (SJ B)
GMDX40;40;B Meters. GMDX (MJ B)
GSD, КВх-15;15;B Meters. GSD-5 (SJ B)
METER 15;15;Meter (Russian/Chineese) (SJ B)
METER-15;15;Meter (Russian/Chineese) (SJ B)
MINCOR-15;15;Mincor (Russian) MK-U (SJ B)
MINKOR 15;15;Mincor (Russian) MK-U (SJ B)
MINKOR MK-U;15;Mincor (Russian) MK-U (SJ B)
MINKOR MK-U 15;15;Mincor (Russian) MK-U (SJ B)
MINKOR MK-U15;15;Mincor (Russian) MK-U (SJ B)
Minkor-15;15;Mincor (Russian) MK-U (SJ B)
MINKOR-15V;15;Mincor (Russian) MK-U (SJ B)
minol-15;15;MINOL Minomess
Minomess M 40;40;MINOL Minomess
MK-U 15;15;Mincor (Russian) MK-U (SJ B)
mku15;15;Mincor (Russian) MK-U (SJ B)
MKU-15;15;Mincor (Russian) MK-U (SJ B)
MK-U15;15;Mincor (Russian) MK-U (SJ B)
MK-U-15;15;Mincor (Russian) MK-U (SJ B)
